Use Case,Industry,Description,Code Github
Solving Multiple Tasks in a Sequence of Chats Initiated by Different Agents,Workflow Automation,Facilitates sequential task-solving with different agents initiating each chat.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchats_sequential_chats
Solving Complex Tasks with Nested Chats,Problem Solving,Uses nested chats to solve hierarchical and complex problems.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nestedchat
Solving Complex Tasks with A Sequence of Nested Chats,Problem Solving,Demonstrates sequential task-solving using nested chats.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nested_sequential_chats
OptiGuide for Solving a Supply Chain Optimization Problem with Nested Chats,Supply Chain Optimization,"Showcases how to solve supply chain optimization problems using nested chats, a coding agent, and a safeguard agent.",https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nestedchat_optiguide
Conversational Chess with Nested Chats and Tool Use,Gaming,Explores the use of nested chats for playing conversational chess with integrated tools.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_nested_chats_chess
Automated Continual Learning from New Data,Machine Learning,Continuously learns from new data inputs for adaptive AI.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_stream.ipynb
"OptiGuide - Coding, Tool Using, Safeguarding & Question Answering for Supply Chain Optimization",Supply Chain Optimization,"Highlights a solution combining coding, tool use, and safeguarding for supply chain optimization.",https://microsoft.github.io/autogen/blob/0.2/notebook/agentchat_nestedchat_optiguide
AutoAnny - A Discord bot built using AutoGen,Communication Tools,Showcases the development of a Discord bot using AutoGen for enhanced interaction.,https://github.com/microsoft/autogen/tree/main/samples/apps/auto-anny
Web Search: Solve Tasks Requiring Web Info,Information Retrieval,Searches the web to gather information required for completing tasks.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_web_info.ipynb
Use Provided Tools as Functions,Tool Integration,Demonstrates how to use pre-provided tools as callable functions in AutoGen.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_function_call_currency_calculator
Use Tools via Sync and Async Function Calling,Tool Integration,Illustrates synchronous and asynchronous tool usage within AutoGen workflows.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_function_call_async
Task Solving with Langchain Provided Tools as Functions,Language Processing,Leverages Langchain tools for task-solving within AutoGen.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_langchain.ipynb
RAG: Group Chat with Retrieval Augmented Generation,Collaboration,Enables group chat with Retrieval Augmented Generation (RAG) to support information sharing.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_groupchat_RAG
Function Inception: Update/Remove Functions During Conversations,Development Tools,Allows AutoGen agents to modify their functions dynamically during conversations.,https://github.com/microsoft/autogen/blob/0.2/notebook/agentchat_inception_function.ipynb
Agent Chat with Whisper,Audio Processing,Demonstrates AI agent capabilities for transcription and translation using Whisper.,https://microsoft.github.io/autogen/0.2/docs/notebooks/agentchat_video_transcript_translate_with_whisper
